CaseID,Opened,YearOpened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,CategoryGroup,CategoryID,Request Type,Request Details,Address,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source
1840026,12/31/12 15:57,2012,12/31/12 18:12,12/31/12 18:12,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,"1361 BUSH ST, SAN FRANCISCO, CA, 94109",3,Lower Nob Hill,NORTHERN,37.78864,-122.4198,"(37.788635050641, -122.419764464498)",Web Self Service
1839775,12/31/12 15:05,2012,1/3/13 15:13,1/3/13 15:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"144 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78242,-122.4138,"(37.782419675428, -122.41382105335)",Voice In
1839766,12/31/12 15:04,2012,1/3/13 15:13,1/3/13 15:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"151 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78232,-122.4141,"(37.782320513909, -122.414098173139)",Voice In
1839757,12/31/12 15:03,2012,1/3/13 15:13,1/3/13 15:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1182 MARKET ST, SAN FRANCISCO, CA, 94102",6,Civic Center,TENDERLOIN,37.77917,-122.4145,"(37.779174939076, -122.414487788611)",Voice In
1839750,12/31/12 15:02,2012,1/3/13 15:13,1/3/13 15:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"39 MASON ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78406,-122.4094,"(37.784055852949, -122.409387916344)",Voice In
1839741,12/31/12 15:01,2012,1/3/13 15:13,1/3/13 15:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"345 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,TENDERLOIN,37.7843,-122.4145,"(37.784298226645, -122.414491139137)",Voice In
1839732,12/31/12 15:00,2012,1/3/13 15:13,1/3/13 15:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"140 JONES ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78263,-122.4121,"(37.782632586174, -122.412139194902)",Voice In
1839729,12/31/12 15:00,2012,1/3/13 15:13,1/3/13 15:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"964 MARKET ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78315,-122.4095,"(37.783151408804, -122.409505567895)",Voice In
1839657,12/31/12 14:49,2012,1/3/13 15:13,1/3/13 15:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"400 HYDE ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,TENDERLOIN,37.78472,-122.416,"(37.784717617779, -122.415968427592)",Voice In
1838782,12/31/12 11:38,2012,2/10/13 13:44,2/10/13 13:44,Closed,Case Resolved -,311 Service Request Queue - Hold,311 External Request,Human Waste,waste,Human/Animal Waste,Human/Animal Waste - ClearChannel,Intersection of 20TH ST and 3RD ST,10,Dogpatch,BAYVIEW,37.76049,-122.3886,"(37.7604910383919, -122.388556249804)",Voice In
1838508,12/31/12 10:56,2012,1/4/13 10:14,1/4/13 10:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of ADA CT and OFARRELL ST,6,Tenderloin,TENDERLOIN,37.78545,-122.4157,"(37.7854497254799, -122.415673981011)",Voice In
1838429,12/31/12 10:40,2012,1/2/13 20:14,1/2/13 20:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"200 CAPP ST, SAN FRANCISCO, CA, 94110",9,Mission,MISSION,37.76324,-122.4185,"(37.763245122837, -122.41852143234)",Voice In
1838333,12/31/12 10:22,2012,1/2/13 20:14,1/2/13 20:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"433 CAPP ST, SAN FRANCISCO, CA, 94110",9,Mission,MISSION,37.75978,-122.4179,"(37.759776941392, -122.417929183122)",Voice In
1838188,12/31/12 9:59,2012,2/1/13 15:14,2/1/13 15:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1647 HAIGHT ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,PARK,37.76953,-122.4494,"(37.769530872921, -122.449375167067)",Voice In
1838145,12/31/12 9:51,2012,1/2/13 20:14,1/2/13 20:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of MISSION ST and SYCAMORE ST,9,Mission,MISSION,37.76271,-122.4194,"(37.7627128979633, -122.419443567172)",Web Self Service
1838116,12/31/12 9:40,2012,1/4/13 7:12,1/4/13 7:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1367 STEVENSON ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.7705,-122.4215,"(37.770503117469, -122.421539784894)",Voice In
1836626,12/30/12 17:52,2012,12/30/12 20:12,12/30/12 20:12,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of 16TH ST and MISSION ST,9,Mission,MISSION,37.76505,-122.4197,"(37.7650512510466, -122.419669041689)",Voice In
1836605,12/30/12 17:47,2012,12/30/12 22:12,12/30/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of OAK ST and OCTAVIA ST,5,Hayes Valley,NORTHERN,37.77483,-122.4241,"(37.774824748193, -122.424136402069)",Voice In
1836314,12/30/12 16:18,2012,12/30/12 22:12,12/30/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"168 HYDE ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78239,-122.4155,"(37.782392047863, -122.415493570799)",Voice In
1836304,12/30/12 16:16,2012,12/30/12 22:12,12/30/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"360 HYDE ST, SAN FRANCISCO, CA, 94109",6,Tenderloin,TENDERLOIN,37.78426,-122.4159,"(37.784262755711, -122.415870758655)",Voice In
1836297,12/30/12 16:15,2012,12/30/12 22:12,12/30/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of GOLDEN GATE AVE and LEAVENWORTH ST,6,Tenderloin,TENDERLOIN,37.78186,-122.4139,"(37.7818633401966, -122.413865509418)",Voice In
1836287,12/30/12 16:13,2012,1/7/13 8:19,1/7/13 8:19,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"60 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78118,-122.4136,"(37.781175819327, -122.413562099275)",Voice In
1836280,12/30/12 16:11,2012,12/30/12 22:12,12/30/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"44 MCALLISTER ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78116,-122.4127,"(37.781158605603, -122.412731971419)",Voice In
1836269,12/30/12 16:08,2012,12/30/12 22:12,12/30/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"60 WASHBURN ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77507,-122.4142,"(37.775072820282, -122.414242599553)",Voice In
1835633,12/30/12 13:11,2012,12/30/12 19:12,12/30/12 19:12,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,"55 NORFOLK ST, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77094,-122.4136,"(37.770940500296, -122.413611347396)",Voice In
1835336,12/30/12 11:56,2012,2/10/13 13:27,2/10/13 13:27,Closed,Case Resolved -,311 Service Request Queue - Hold,311 External Request,Human Waste,waste,Human/Animal Waste,Human/Animal Waste - ClearChannel,"1139 MARKET ST, SAN FRANCISCO, CA, 94103",6,South of Market,TENDERLOIN,37.77964,-122.4132,"(37.77964584837, -122.413171581746)",Voice In
1835327,12/30/12 11:55,2012,12/31/12 9:14,12/31/12 9:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"217 EDDY ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78395,-122.4113,"(37.783951012615, -122.411259740659)",Voice In
1835321,12/30/12 11:54,2012,1/4/13 10:13,1/4/13 10:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"125 MASON ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78458,-122.4094,"(37.784585682165, -122.409409441674)",Voice In
1835313,12/30/12 11:53,2012,12/31/12 9:14,12/31/12 9:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"248 TAYLOR ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78473,-122.4109,"(37.784730468033, -122.410912649626)",Voice In
1835301,12/30/12 11:52,2012,12/31/12 9:14,12/31/12 9:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"421 O'FARRELL ST, SAN FRANCISCO, CA, 94102",6,,TENDERLOIN,37.78574,-122.4118,"(37.785739232, -122.411766514)",Voice In
1835295,12/30/12 11:50,2012,1/2/13 8:13,1/2/13 8:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"146 MCALLISTER ST, SAN FRANCISCO, CA, 94102",6,Civic Center,TENDERLOIN,37.78094,-122.4145,"(37.780938879417, -122.414458416296)",Voice In
1835039,12/30/12 10:24,2012,12/31/12 10:13,12/31/12 10:13,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,"15 BRUSH PL, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77542,-122.4083,"(37.775420276791, -122.408312249623)",Voice In
1834895,12/30/12 9:25,2012,12/31/12 8:14,12/31/12 8:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1 SOUTH VAN NESS AVE, SAN FRANCISCO, CA, 94103",6,South of Market,SOUTHERN,37.77463,-122.4188,"(37.774628805593, -122.418848088939)",Voice In
1834794,12/30/12 8:35,2012,12/30/12 12:13,12/30/12 12:13,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,"21 MERLIN ST, SAN FRANCISCO, CA, 94107",6,South of Market,SOUTHERN,37.77836,-122.402,"(37.778362986493, -122.401972462542)",Voice In
1833817,12/29/12 17:33,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"48 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78231,-122.4115,"(37.78230726667, -122.411475833499)",Voice In
1833813,12/29/12 17:32,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of ELLIS ST and LEAVENWORTH ST,6,Tenderloin,TENDERLOIN,37.78466,-122.4144,"(37.7846571205337, -122.414430027214)",Voice In
1833806,12/29/12 17:30,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"322 EDDY ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78401,-122.4131,"(37.784010819438, -122.413131684595)",Voice In
1833800,12/29/12 17:29,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of JONES ST and TURK ST,6,Tenderloin,TENDERLOIN,37.783,-122.4124,"(37.7830040965109, -122.412411848948)",Voice In
1833755,12/29/12 17:17,2012,12/29/12 20:34,12/29/12 20:34,Closed,Case Transferred - Request transferred to Clear Channel 12/29/2012,311 Service Request Queue - Hold,311 External Request,Human Waste,waste,Human/Animal Waste,Human/Animal Waste - ClearChannel,Intersection of CABRILLO ST and LA PLAYA,1,Outer Richmond,RICHMOND,37.77326,-122.51,"(37.7732594983185, -122.510036907962)",Voice In
1833669,12/29/12 16:41,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1737 JACKSON ST, SAN FRANCISCO, CA, 94109",2,Pacific Heights,NORTHERN,37.79371,-122.4238,"(37.793708211889, -122.42384098333)",Voice In
1833526,12/29/12 15:54,2012,2/10/13 13:27,2/10/13 13:27,Closed,Case Resolved -,311 Service Request Queue - Hold,311 External Request,Human Waste,waste,Human/Animal Waste,Human/Animal Waste - ClearChannel,Intersection of 11TH ST and FOLSOM ST,6,South of Market,SOUTHERN,37.77186,-122.414,"(37.7718636151643, -122.414026570892)",Voice In
1833515,12/29/12 15:51,2012,1/3/13 16:12,1/3/13 16:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Needles,needle,Medical Waste,Needles,Intersection of 11TH ST and KISSLING ST,6,South of Market,SOUTHERN,37.77265,-122.415,"(37.7726493294698, -122.415001588368)",Voice In
1833511,12/29/12 15:49,2012,1/3/13 16:12,1/3/13 16:12,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of 11TH ST and KISSLING ST,6,South of Market,SOUTHERN,37.77265,-122.415,"(37.7726493294698, -122.415001588368)",Voice In
1833445,12/29/12 15:31,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1465 PAGE ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,PARK,37.77109,-122.445,"(37.771089233641, -122.444963523557)",Voice In
1833098,12/29/12 13:21,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"248 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78186,-122.4147,"(37.781865631674, -122.414706583788)",Voice In
1833093,12/29/12 13:20,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"450 JONES ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78558,-122.4128,"(37.785581525406, -122.412769528993)",Voice In
1833088,12/29/12 13:19,2012,12/29/12 22:13,12/29/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"424 JONES ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.7853,-122.4127,"(37.785297191281, -122.412710818544)",Voice In
1833085,12/29/12 13:17,2012,12/31/12 8:14,12/31/12 8:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of LEAVENWORTH ST and MCALLISTER ST,6,Civic Center,TENDERLOIN,37.78093,-122.4137,"(37.780926968726, -122.413676291653)",Voice In
1832963,12/29/12 12:39,2012,1/2/13 8:13,1/2/13 8:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1930 MISSION ST, SAN FRANCISCO, CA, 94103",9,Mission,MISSION,37.76621,-122.4199,"(37.766210649758, -122.419944079523)",Voice In
1832870,12/29/12 12:09,2012,12/31/12 8:14,12/31/12 8:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of 9TH ST and MARKET ST,6,South of Market,TENDERLOIN,37.77749,-122.4163,"(37.7774936976677, -122.416291745347)",Voice In
1832817,12/29/12 11:41,2012,1/3/13 10:12,1/3/13 10:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"10 SAN CARLOS ST, SAN FRANCISCO, CA, 94110",9,Mission,MISSION,37.76257,-122.4203,"(37.762573974502, -122.420344118276)",Voice In
1832631,12/29/12 10:43,2012,1/4/13 10:13,1/4/13 10:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"250 CLARA ST, SAN FRANCISCO, CA, 94107",6,South of Market,SOUTHERN,37.7787,-122.4035,"(37.778699872824, -122.403449455704)",Web Self Service
1832550,12/29/12 10:10,2012,1/3/13 10:11,1/3/13 10:11,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of 10TH ST and MINNA ST,6,South of Market,SOUTHERN,37.77485,-122.4154,"(37.774844143673, -122.415371714447)",Voice In
1832397,12/29/12 9:06,2012,12/31/12 8:14,12/31/12 8:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of GRANT AVE and OFARRELL ST,6,South of Market,TENDERLOIN,37.78673,-122.4046,"(37.786730635816, -122.404583359715)",Voice In
1832364,12/29/12 8:49,2012,1/2/13 8:13,1/2/13 8:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"26 7TH ST, SAN FRANCISCO, CA, 94103",6,South of Market,TENDERLOIN,37.78011,-122.4123,"(37.78011338567, -122.412322993116)",Voice In
1831559,12/28/12 18:09,2012,12/28/12 22:13,12/28/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"114 RUSS ST, SAN FRANCISCO, CA, 94103",6,,SOUTHERN,37.77845,-122.4081,"(37.778444405, -122.408112714)",Web Self Service
1831467,12/28/12 17:25,2012,12/28/12 22:12,12/28/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of HOWARD ST and RUSS ST,6,South of Market,SOUTHERN,37.77886,-122.4083,"(37.7788607250672, -122.408271534865)",Voice In
1831184,12/28/12 16:14,2012,12/28/12 22:12,12/28/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"161 LEAVENWORTH ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78259,-122.4142,"(37.782585207018, -122.414151742923)",Voice In
1830788,12/28/12 14:59,2012,12/28/12 22:13,12/28/12 22:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"217 EDDY ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78395,-122.4113,"(37.783951012615, -122.411259740659)",Voice In
1830784,12/28/12 14:57,2012,12/28/12 22:12,12/28/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"370 TURK ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78275,-122.4152,"(37.782754717176, -122.415236257599)",Voice In
1830771,12/28/12 14:56,2012,12/28/12 22:12,12/28/12 22:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1100 MARKET ST, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78088,-122.4124,"(37.780874748067, -122.412392042544)",Voice In
1830472,12/28/12 13:57,2012,12/29/12 21:14,12/29/12 21:14,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,Intersection of 22ND ST and VERMONT ST,10,Potrero Hill,MISSION,37.757,-122.404,"(37.7569962354311, -122.404001667891)",Voice In
1830295,12/28/12 13:22,2012,1/8/13 7:02,1/8/13 7:02,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"542 VALLEY ST, SAN FRANCISCO, CA, 94131",8,,INGLESIDE,37.74428,-122.4344,"(37.744281426, -122.434437222)",Voice In
1830171,12/28/12 12:52,2012,12/31/12 8:14,12/31/12 8:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Intersection of FOLSOM ST and THE EMBARCADERO,6,Rincon Hill,SOUTHERN,37.79076,-122.3901,"(37.7907650044534, -122.390090470276)",Voice In
1830107,12/28/12 12:40,2012,12/31/12 7:14,12/31/12 7:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"511 WALLER ST, SAN FRANCISCO, CA, 94117",8,Duboce Triangle,PARK,37.77081,-122.4321,"(37.770810728771, -122.432120139221)",Voice In
1830097,12/28/12 12:38,2012,12/28/12 18:13,12/28/12 18:13,Closed,Case Completed - resolved:,DPW Ops Queue,Encampments,Encampment,encampment,Encampment Reports,Encampment Cleanup,"2445 16TH ST, SAN FRANCISCO, CA, 94110",9,Mission,MISSION,37.76543,-122.4111,"(37.765428318307, -122.411119396876)",Voice In
1829801,12/28/12 11:34,2012,12/31/12 8:14,12/31/12 8:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,Not associated with a specific address,,,,0,0,,Web Self Service
1829711,12/28/12 11:13,2012,12/30/12 7:13,12/30/12 7:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1931 LINCOLN WAY, SAN FRANCISCO, CA, 94122",4,,TARAVAL,37.76511,-122.4789,"(37.76510939, -122.478907451)",Voice In
1829469,12/28/12 10:22,2012,12/31/12 8:14,12/31/12 8:14,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"270 MCALLISTER ST, SAN FRANCISCO, CA, 94102",6,Civic Center,TENDERLOIN,37.78068,-122.4165,"(37.780680041037, -122.416481162592)",Voice In
1829460,12/28/12 10:20,2012,12/31/12 7:12,12/31/12 7:12,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"1570 WALLER ST, SAN FRANCISCO, CA, 94117",5,Haight Ashbury,PARK,37.76877,-122.45,"(37.768773046172, -122.449966621426)",Web Self Service
1829412,12/28/12 10:12,2012,12/28/12 11:13,12/28/12 11:13,Closed,Case Completed - resolved:,DPW Ops Queue,Homeless Concerns,Human Waste,waste,Human Waste,Human Waste,"134 GOLDEN GATE AVE, SAN FRANCISCO, CA, 94102",6,Tenderloin,TENDERLOIN,37.78209,-122.4129,"(37.782093951021, -122.412939288832)",Voice In
