complaint,date_scratch,date,location
The elevator is out at this SRO property. This is common for this to occur the shortest time that the elevator was out before being serviced was 2 days and the longest was 5 weeks. Currently there is a disabled tenant that is unable to reach his room due to the issue.,9/26/16,"Sept. 25, 2016",Crosby
Leaking cold water pipe of sink. Water gets into walls and drips down to the first floor. Been going on for months but maintenance ignoring this.,8/2/16,"Aug. 2, 2016",Crosby
Wall paint peeling.  The bathroom toilet is not working. Sink is backing up. Flooring in disrepair.  No clothes rack in the room.,6/23/16,"June 23, 2016",Crosby
Hot water measuring 130F is coming from both hot & cold water supply lines to the lavatory sink and tub/shower in the 6th floor bathing facility. The water from the cold supply lines reportedly remain hot for approx 10 minutes before turning cold.,2/11/16,"Feb. 11, 2016",Crosby
Cold water has been shut off for 2 weeks on 6th floor.,2/10/16,"Feb. 10, 2016",Crosby
"Toilet back flowed this morning and flooded my bathroom. Peeling paint all over, holes in wall allow mice and roaches into room. Floors have many cracks, harboring roaches and bugs. Heaters radiators malfunction. Shower valve inoperable.  New glazing of tub rusting again.",9/8/15,"Sept. 8, 2015",Crosby
"Decayed body smell, inadequate ventilation, lights flicker, tv shorted out from power surge, garbage overflowing, toilet stopped up, water shut off. Desk clerk asleep. unsanitary common area",5/11/15,"*May 11, 2015",Crosby
"Mold on bedroom wall, wire poking out of mattress, carpet matted & filthy, water shut off, bathroom floors decayed, tub is sinking.",5/11/15,"May 11, 2015",Crosby
"No smoke alarm in unit, sink broke off wall, pipe broke, rust & water come out brown, faucet inoperable. Mold & mildew on bed. Common hallway filthy, wall plugs don't function, floor tiles in unit broken & detaching.",5/11/15,"May 11, 2015",Crosby
Tenant is filling toilet water tank manually no water from supply line to toilet water tank.,4/2/15,"April 2, 2015",Crosby
Cockroaches. Mold in carpets. Mold in the shower room. Peeling paint in toilet room. Dust from demolition in common area.,2/20/15,"Feb. 20, 2015",Crosby
"Electricity is not working, toilet ceiling came down and wooden floor buckled, holes in bedroom wall, main window is broken, no sink in the entire unit, toilet clogged.",1/21/15,"Jan. 1, 2015",Crosby
